trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrans,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
42,0.5,1.0,55.13408959982917,,55.1253760997206,55.13408959982917,55.6356974998489,55.6356974998489,55.6356974998489,55.93534850003198,56.26056349975988,left,-1.0,1,1,0.607616700232029,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
43,0.5,1.0,56.26932530011982,,56.26070349989459,56.26932530011982,56.769381899852306,56.769381899852306,56.769381899852306,57.068952300120145,57.295024999883026,right,1.0,0,0,0.5156271997839212,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
44,0.5,1.0,57.317597900051624,,57.295169699937105,57.317597900051624,57.81809329986572,57.80217709997669,57.80217709997669,58.1019999999553,59.04399439971894,left,-1.0,0,0,1.2344392999075353,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
45,0.5,1.0,59.05215279990807,,59.04411009978503,59.05215279990807,59.55346120009199,59.55346120009199,59.55346120009199,59.851941799744964,60.19634660007432,left,-1.0,0,0,0.636383100412786,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
46,0.5,1.0,60.21897970000282,,60.196494800038636,60.21897970000282,60.71972979977727,60.70448049996048,60.70448049996048,61.00423969980329,61.129190399777144,left,-1.0,0,0,0.42107340041548014,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
47,0.5,1.0,61.15245349984616,,61.12934869993478,61.15245349984616,61.65322959981859,61.63654119987041,61.63654119987041,61.93793170014396,62.26394440000877,left,-1.0,1,1,0.6170219001360238,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
48,0.5,1.0,62.28639050014317,,62.26408619992435,62.28639050014317,62.78835130017251,62.77111480012536,62.77111480012536,63.07180349994451,63.44774729991332,right,1.0,1,1,0.6687029995955527,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
49,0.5,1.0,63.47026149975136,,63.44796080002561,63.47026149975136,63.972719399724156,63.955909700132906,63.955909700132906,64.25545229995623,64.71397039992735,right,1.0,0,0,0.754475699737668,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
50,0.5,1.0,64.73739979974926,,64.71413139998913,64.73739979974926,65.23953909985721,65.22234460012987,65.22234460012987,65.52285890001804,65.89763389993459,right,1.0,0,0,0.6640678998082876,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
51,0.5,1.0,65.92101550009102,,65.89781019976363,65.92101550009102,66.4229159001261,66.4067104998976,66.4067104998976,66.70669679995626,66.87687319982797,left,-1.0,1,1,0.45480290008708835,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
